name,bigtype,material,description,url
쌀밥,한식,쌀,"1. 밥솥에 쌀을 씻어 깨끗하게 세척한다.
2. 물과 쌀의 비율은 1:1.2 정도로 설정하여 밥솥에 넣는다.
3. 밥솥을 뚜껑으로 덮고, ""취사"" 모드로 설정하여 밥을 짓는다.
4. 밥이 다 익으면, 약 10분 정도 지난 후에 조금씩 저어가며 식힌다.
5. 완성된 흰쌀밥을 그릇에 담아 맛있게 즐긴다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/쌀밥/main.jpeg
잡곡밥,한식,"쌀, 보리, 귀리","1. 쌀과 원하는 비율의 잡곡(현미, 찹쌀, 보리, 검정콩 등)을 섞어 청결하게 씻는다.
2. 잡곡밥은 일반 백미보다 물이 좀 더 필요하므로 적당량의 물을 넣어준다(일반적으로 5:6 정도의 비율).
3. 밥솥에 섞인 잡곡과 물을 넣고 밥 삶는 모드로 돌린다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/잡곡밥/main.jpeg
옥수수밥,한식,"옥수수, 쌀","1. 쌀 2컵과 옥수수콘 1개를 준비한다 (옥수수는 통조림이나 냉동식품을 사용해도 됩니다).
2. 쌀은 청결하게 씻어서 밥솥에 넣고, 옥수수는 알만 잘라서 준비한다.
3. 밥솥에 쌀 위에 옥수수 알을 골고루 뿌려주고, 일반적으로 밥을 지을 때처럼 물을 넣어준다.
4. 밥솥에서 보통 모드로 밥을 지은 후 완료되면 잘 섞어 완성한다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/옥수수밥/main.jpeg
명란버터밥,한식,"버터, 쌀","1. 밥 1공기를 준비하고, 명란 2개의 적당량을 준비한다.
2. 팬에 버터를 녹인 후, 명란을 넣고 중불에서 볶는다.
3. 명란이 어느 정도 익었을 때 밥을 넣고 잘 섞어준다.
4. 마지막으로 소금과 후추로 간을 맞추고 추가로 파슬리나 참깨를 넣으면 향도 좋아진다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/명란버터밥/main.jpeg
비빔밥,한식,"채소, 쌀","1. 밥 1공기를 준비하고, 다양한 야채(시금치, 당근, 오이 등)와 고기나 두부 등을 적당량 준비한다.
2. 각각의 재료를 별도로 손질하고 삶거나 볶아서 준비한다.
3. 그릇에 밥을 담고 그 위에 재료들을 고루 나눠 담는다.
4. 마지막으로 고추장이나 비빔장을 넣고 잘 비벼서 먹는다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/비빔밥/main.jpeg
야채죽,한식,"채소, 쌀","1. 선호하는 야채들을 적당한 크기로 잘라 깨끗이 씻는다.
2. 밥과 야채, 그리고 적당량의 물을 냄비에 넣는다.
3. 중약불에서 냄비의 내용물이 부드럽게 풀어질 때까지 20-30분간 끓인다.
4. 이후, 전기믹서기를 사용하여 잘 갈아 준다.
5. 소금으로 간을 맞추고 완성된 야채죽을 그릇에 담아낸다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/야채죽/main.jpeg
전복죽,한식,"전복, 쌀","1. 전복 2~3개를 깨끗이 씻은 후 소금과 청주에 20분간 재워둡니다.
2. 밥 1공기(더 부드러운 죽을 원하면 찹쌀밥)를 물에 넣고 끓이다가 전복을 넣어 함께 삶습니다.
3. 전복이 익으면 꺼내어 내장을 제거하고 고기 부분을 잘게 찢어 다시 죽에 넣습니다.
4. 감칠맛을 위해 소금으로 간을 맞추고, 참기름과 후춧가루를 약간 뿌려 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/전복죽/main.jpeg
미역죽,한식,"미역, 쌀","1. 미역 50g을 찬물에 불려 깨끗이 씻은 후 잘게 썰어줍니다.
2. 밥 1공기를 냄비에 넣고, 미역과 함께 충분한 양의 물을 부어 섞습니다.
3. 중불에서 천천히 끓여가며 가끔 저어줍니다.
4. 죽이 원하는 질감으로 되면 소금으로 간을 맞추고 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/미역죽/main.jpeg
소고기버섯죽,한식,"소고기, 버섯","1. 소고기 100g과 버섯(표고버섯, 팽이버섯 등) 50g을 준비하고, 소고기는 잘게 썰어 양념(간장, 설탕, 다진 마늘 등)에 재워둡니다.
2. 밥 1공기를 냄비에 넣고 충분한 양의 물을 부어 섞습니다.
3. 중불에서 천천히 끓여가며 가끔 저어줍니다.
4. 죽이 거의 완성되면 양념에 재운 소고기와 버섯을 넣어 함께 익혀줍니다.
5. 모든 재료가 잘 섞이면서 완전히 익었으면 간을 확인하고 필요하면 소금으로 간을 맞추어 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/소고기버섯죽/main.jpeg
팥죽,한식,"팥, 쌀","1. 팥을 하루 전에 물에 불려둔 후, 깨끗이 씻는다.
2. 팥과 충분한 물을 넣고 약 1시간 동안 중약불에서 팥이 부드럽게 될 때까지 끓인다.
3. 밥을 추가하여 함께 약 20-30분 동안 더 끓인다.
4. 설탕이나 소금으로 간을 맞춘 후, 잘 저어서 팥죽의 질감을 부드럽게 만든다.
5. 완성된 팥죽을 그릇에 담아낸다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/팥죽/main.jpeg
단호박죽,한식,"단호박, 쌀","1. 단호박 200g을 씻은 후 껍질을 제거하고 적당한 크기로 잘라줍니다.
2. 냄비에 단호박 조각과 물 2컵을 넣고 중불에서 끓입니다.
3. 단호박이 부드럽게 익으면 불을 줄이고 밥 1공기를 넣어 잘 섞어줍니다.
4. 밥과 단호박이 잘 섞여 부드러운 죽이 될 때까지 중약불에서 천천히 저어가며 끓입니다.
5. 소금으로 간을 맞추고, 원하는 경우 꿀이나 설탕으로 달달함을 추가할 수 있습니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/단호박죽/main.jpeg
베이컨볶음밥,한식,"베이컨, 쌀","1. 베이컨 100g, 야채(당근, 파, 양파 등)를 적당량 준비하고 잘게 썰어줍니다.
2. 팬에 기름을 두르고 베이컨을 볶다가 야채를 추가하여 함께 볶습니다.
3. 야채가 익으면 밥 1공기를 넣고 잘 섞어줍니다.
4. 간장 소량으로 간을 맞추고 계란 한 개를 풀어 넣어 잘 섞어 볶아 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/베이컨볶음밥/main.jpeg
김치볶음밥,한식,"김치, 쌀","1. 기름을 두른 팬에 다진 마늘과 김치를 넣어 중불에서 볶는다.
2. 김치가 충분히 익으면 밥을 추가하고 잘 섞어준다.
3. 간장, 설탕, 고추가루 등으로 간을 맞추며 계속해서 볶는다.
4. 필요하다면 참기름과 통깨를 넣어 향을 더한다.
5. 완성된 김치볶음밥을 그릇에 담아 먹는다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/김치볶음밥/main.jpeg
간장계란밥,한식,"간장, 계란, 쌀","1. 계란 2개를 풀어서 잘 섞은 후 팬에 기름을 두르고 부숴 소금으로 간을 맞춥니다.
2. 계란이 완전히 익으면 밥 1공기를 넣고 잘 섞어줍니다.
3. 간장 1~2스푼을 넣고 고루 섞어 볶습니다.
4. 모든 재료가 고루 섞인 후에는 불에서 내려 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/간장계란밥/main.jpeg
스팸볶음밥,한식,"햄, 쌀","1. 스팸 100g, 야채(당근, 파, 양파 등)를 적당량 준비하고 잘게 썰어줍니다.
2. 팬에 기름을 두르고 스팸을 볶다가 야채를 추가하여 함께 볶습니다.
3. 야채가 익으면 밥 1공기를 넣고 잘 섞어줍니다.
4. 간장 소량으로 간을 맞추고 계란 한 개를 풀어 넣어 잘 섞어 볶습니다.
5. 모든 재료가 고루 섞인 후에는 불에서 내려 완성",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/스팸볶음밥/main.jpeg
해물볶음밥,한식,"해물, 쌀","1. 볶을 해물(새우, 조개 등)을 준비하고, 양파와 당근 등 원하는 야채를 적당한 크기로 썰어준다.
2. 팬에 기름을 두르고 다진 마늘과 해물, 야채를 볶는다.
3. 재료가 익었으면 밥을 넣고 계속해서 볶아준다.
4. 간장, 소금, 후추 등으로 간을 맞춘다.
5. 마지막으로 계란을 풀어서 팬 가장자리에 부은 후 잘 섞어 볶는다.
6. 완성",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/해물볶음밥/main.jpeg
카레덮밥,한식,"카레, 쌀","1. 야채(당근, 감자, 양파 등)와 소고기 100g를 적당한 크기로 잘라줍니다.
2. 팬에 기름을 두르고 소고기를 볶다가 야채를 추가하여 함께 볶습니다.
3. 야채가 익으면 카레가루 2스푼을 넣어 잘 섞어줍니다.
4. 물 2컵을 부어 섞은 후 중불에서 끓여줍니다.
5. 카레가 원하는 농도가 될 때까지 천천히 저어가며 끓입니다.
6. 밥 위에 카레를 부어서 완성한다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/카레덮밥/main.jpeg
짜장밥,한식,"짜장, 쌀","1. 양파, 당근, 오이 등 원하는 야채와 돼지고기 100g를 적당한 크기로 잘라줍니다.
2. 팬에 기름을 두르고 돼지고기를 볶다가 야채를 추가하여 함께 볶습니다.
3. 야채가 익으면 짜장가루 2스푼을 넣어 잘 섞어줍니다.
4. 물 1컵을 부어 섞은 후 중불에서 끓여줍니다.
5. 짜장 소스가 원하는 농도가 될 때까지 천천히 저어가며 끓입니다.
6. 밥 위에 짜장 소스를 부어서 완성합니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/짜장밥/main.jpeg
오징어덮밥,한식,"오징어, 쌀","1. 오징어 1마리와 야채(당근, 양파, 파 등)를 적당량 준비하고 잘게 썰어줍니다.
2. 팬에 기름을 두르고 오징어를 볶다가 야채를 추가하여 함께 볶습니다.
3. 야채가 익으면 간장 1스푼, 설탕 1/2스푼을 넣고 잘 섞어 볶습니다.
4. 모든 재료가 고루 섞인 후에는 밥 위에 올려서 완성한다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/오징어덮밥/main.jpeg
오므라이스,한식,"계란, 쌀","1. 팬에 기름을 두르고 양파, 햄, 채소 등을 볶은 후 밥과 케첩을 넣어 잘 섞는다.
2. 다른 팬에서 계란과 소금을 잘 풀어 계란 후라이를 만든다.
3. 볶은 밥을 그릇에 담아 모양을 만든 후 접시에 옮기고, 이 위에 계란후라이를 올린다.
4. 주의해서 계란후라이를 밥 위로 접어 오므라이스의 형태를 만든다.
5. 마지막으로 케첩으로 장식하면 완성된 오므라이스가 된다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/오므라이스/main.jpeg
육회비빔밥,한식,"소고기, 쌀","1. 육회 100g를 준비하고, 야채(상추, 쑥갓, 당근 등)는 잘게 썰어줍니다.
2. 밥을 그릇에 담고 육회와 야채를 고루 올려줍니다.
3. 설탕 1스푼, 간장 1스푼, 참기름 1스푼으로 양념장을 만들어서 비빔밥 위에 뿌려줍니다.
4. 계란노른자 한 개를 중앙에 올려주고 깨소금을 솔솔 뿌린 후 섞어서 먹습니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/육회비빔밥/main.jpeg
김치알밥,한식,"김치, 쌀","1. 김치 100g를 잘게 썰어줍니다. 계란 2개를 풀어서 준비합니다.
2. 팬에 기름을 두르고 김치를 볶다가 밥 1공기와 섞어줍니다.
3. 계란을 부어 잘 섞어 볶습니다.",https://meturial-bucket.s3.ap-northeast-2.amazonaws.com/data/김치알밥/main.jpeg
